FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4HFFN, link=3, sequence=12]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4HFOM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4HFON, link=3, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4LFFM, link=2, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFBN, link=5, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFDM, link=3, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFDN, link=5, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFFN, link=4, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFOM, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX0HFON, link=4, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFBN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFDM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFDN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFFN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFOM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAX4HFON, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LRX0HFER, link=6, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LRX4HFER, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=QAA0HFEM, link=2, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=QAA0HFEN, link=2, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=QAA0HFFN, link=2, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=QAA0HFOM, link=2, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=QAA0HFON, link=2, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=SAX0HFEM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=SAX0HFEN, link=7, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=SAX0HFFN, link=16, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=SAX0HFOM, link=3, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=SAX0HFON, link=6, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=UAA0HFEM, link=4, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=UAA0HFEN, link=9, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=UAA0HFFN, link=9, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=UAA0HFOM, link=4, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=UAA0HFON, link=4, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=VAA0HFEM, link=1, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=VAA0HFEN, link=1, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=VAA0HFFN, link=1, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=VAA0HFOM, link=1, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=VAA0HFON, link=1, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WAA0HFEM, link=1, sequence=21]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WAA0HFEN, link=6, sequence=23]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WAA0HFFN, link=4, sequence=40]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WAA0HFOM, link=1, sequence=20]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WAA0HFON, link=1, sequence=27]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WRX0HKEM, link=1, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WRX0HKEN, link=2, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WRX0HKFN, link=2, sequence=13]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WRX0HKOM, link=1, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=WRX0HKON, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=KAW5LFFM, link=1, sequence=14]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=KAX2LFFM, link=1, sequence=14]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=KAX5LFFM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=LAW2LFFM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=LAW4LFFM, link=1, sequence=15]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=QAA0HFEM, link=3, sequence=6]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=QAA0HFEN, link=3, sequence=6]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=QAA0HFFN, link=3, sequence=6]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=QAA0HFOM, link=3, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=QAA0HFON, link=3, sequence=4]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=TAW0HFEM, link=2, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=TAW0HFEN, link=6, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=TAW0HFFN, link=7, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=TAW0HFOM, link=2, sequence=6]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=TAW0HFON, link=3, sequence=6]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=UAA2HFEM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=UAA2HFEN, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=UAA2HFFN, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=UAA2HFOM, link=1, sequence=3]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=UAA2HFON, link=1, sequence=3]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=WAA2HFEM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=WAA2HFEN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=WAA2HFFN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=WAA2HFOM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=KOA  , fareClass=WAA2HFON, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=HAA0HFEM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=HAA0HFEN, link=10, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=HAA0HFFN, link=9, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=HAA0HFOM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=HAA0HFON, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=KAW5LFFM, link=1, sequence=16]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=KAX2LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4HFEM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4HFEN, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4HFFN, link=3, sequence=12]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4HFOM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4HFON, link=3, sequence=10]
